City Code Descriptio,Special Process Indi,BIDING AMMOUNT
BENIAGRAM,1166,407
BERHAMPORE,1164,377
BERHAMPORE,1166,368
BERHAMPORE,1167,373
BETAI,1167,707
BETAI,1166,702
BETAI,1164,709
BETHUADAHARI,1166,608
BETHUADAHARI,1167,612
BETHUADAHARI,1164,615
BEYARA,1164,799
BEYARA,1166,792
BEYARA,1167,797
BHABANANDAPUR,1166,427
BHABANANDAPUR,1164,435
BHABANANDAPUR,1167,432
BHADRAPUR,1164,303
BHADRAPUR,1167,299
BHADRAPUR,1166,294
BHADURIAPARA,1164,477
BHADURIAPARA,1166,469
BHADURIAPARA,1167,474
BHAGIRATHPUR,1167,548
BHAGIRATHPUR,1164,551
BHAGIRATHPUR,1166,543
BHAGWANGOLA,1166,353
BHAGWANGOLA,1167,358
